"Code","Country","Día30","ContagDía30","infoalawk","HDI","%poburb18","%pobrur18","GS_2017","PPP_2018","StringencyIndex","Día7","Indice","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)"
"ECU","Ecuador",2020-03-08,14,2,0.7579,63.82,36.18,8.25742930173874,6295.93539868079,93.52,2020-03-20,-0.2613976,"Sin apoyo",68.7886817522951,5
"EGY","Egypt",2020-03-21,294,0,0.6997,42.7,57.3,5.28763681650162,2549.13225178609,0,2020-03-14,-0.5848041,"Sin apoyo",98.8734692852479,12
"ESP","Spain",2020-03-01,84,2,0.8928,80.32,19.68,8.87312963604927,30337.6791331632,25,2020-03-09,1.002136,"Sin apoyo",93.6771974435832,17
"EST","Estonia",2020-03-05,3,2,0.8815,68.88,31.12,6.42935782670975,23258.4675814303,77.78,2020-03-31,1.191938,"Más del 50% del sueldo",30.4112491373361,6
"ETH","Ethiopia",2020-04-19,108,2,0.4698,20.76,79.24,3.50255742669106,771.523813864476,80.56,2020-04-11,-0.6074697,"Sin apoyo",109.224559,18
"FIN","Finland",2020-02-07,1,1,0.9252,85.38,14.62,9.20693874359131,50021.2910567702,57.41,2020-03-27,1.984208,"Más del 50% del sueldo",18.1485472672831,9
"GBR","United Kingdom",2020-02-09,14,2,0.9204,83.4,16.6,9.63169410824776,43043.2278164551,11.11,2020-03-12,1.341884,"Sin apoyo",274.708981936924,4
"GEO","Georgia",2020-03-04,3,2,0.7864,58.63,41.37,7.60165899991989,4722.78778321766,100,2020-04-10,0.6145709,"Sin apoyo",65.197330207495,12
"GHA","Ghana",2020-04-02,204,2,0.5957,56.06,43.94,3.26237045228481,2202.31216442504,52.78,2020-03-27,-0.2102704,"Sin apoyo",130.821429199262,12
"GIN","Guinea",2020-04-19,579,2,0.4655,36.14,63.86,4.12308685481548,983.309492239346,78.7,2020-04-21,-0.9709232,"Menos del 50% del sueldo",50.5222122741332,3
"GMB","Gambia",2020-04-22,10,2,0.4657,61.27,38.73,3.2820712774992,712.512371079256,78.7,2020-03-29,-0.6234712,"Sin apoyo",225.30652173913,NA
"GRC","Greece",2020-03-04,9,2,0.872,79.06,20.94,8.04139003157616,20324.3050137875,54.63,2020-03-17,0.3382609,"Sin apoyo",83.2651823118697,22
"GTM","Guatemala",2020-04-02,47,2,0.651,51.05,48.95,5.81384375691414,4472.89236269013,93.52,2020-03-22,-0.6820061,"Sin apoyo",152.547125793206,2
"GUY","Guyana",2020-04-18,63,2,0.6703,26.61,73.39,4.94550988078117,4979.00218839886,41.67,2020-03-18,-0.2694839,"Sin apoyo",3.95734823469647,11
"HND","Honduras",2020-04-17,442,2,0.623,57.1,42.9,7.85842537879944,2505.7767518956,100,2020-04-01,-0.6206585,"Sin apoyo",85.6870319063366,6
