"Country","Code","%poburb18"
"Ucrania","UKR",69.35
"Uruguay","URY",95.33
"Estados Unidos","USA",82.26
"Uzbekistán","UZB",50.48
"San Vicente y las Granadinas","VCT",52.2
"Venezuela","VEN",88.21
"Islas Vírgenes Británicas","VGB",47.72
"Islas Vírgenes (EE.UU.)","VIR",95.72
"Viet Nam","VNM",35.92
"Vanuatu","VUT",25.27
"Mundo","WLD",55.27
"Samoa","WSM",18.24
"Kosovo","XKX",NA
"Yemen, Rep. del","YEM",36.64
"Sudáfrica","ZAF",66.36
"Zambia","ZMB",43.52
"Zimbabwe","ZWE",32.21
