"Country","Code","%pobrur18"
"Ucrania","UKR",30.65
"Uruguay","URY",4.67
"Estados Unidos","USA",17.74
"Uzbekistán","UZB",49.52
"San Vicente y las Granadinas","VCT",47.8
"Venezuela","VEN",11.79
"Islas Vírgenes Británicas","VGB",52.28
"Islas Vírgenes (EE.UU.)","VIR",4.28
"Viet Nam","VNM",64.08
"Vanuatu","VUT",74.73
"Mundo","WLD",44.73
"Samoa","WSM",81.76
"Kosovo","XKX",NA
"Yemen, Rep. del","YEM",63.36
"Sudáfrica","ZAF",33.65
"Zambia","ZMB",56.48
"Zimbabwe","ZWE",67.79
