"Code","Country","Día30","ContagDía30","infoalawk","HDI","%poburb18","%pobrur18"
"MYS","Malaysia",2020-02-03,8,2,0.8042,76.04,23.96
"NAM","Namibia",2020-04-02,14,2,0.645,50.03,49.97
"NER","Niger",2020-04-25,684,2,0.3766,16.42,83.58
"NGA","Nigeria",2020-03-06,1,2,0.5341,50.34,49.66
"NIC","Nicaragua",2020-04-24,11,1,0.6511,58.52,41.48
"NLD","Netherlands",2020-03-05,82,2,0.9335,91.49,8.51
"NOR","Norway",2020-03-04,56,2,0.9537,82.25,17.75
"NPL","Nepal",2020-02-03,1,2,0.5795,19.74,80.26
"NZL","New Zealand",2020-03-06,4,2,0.9209,86.54,13.46
"OMN","Oman",2020-03-30,179,2,0.8338,84.54,15.46
"PAK","Pakistan",2020-03-31,2118,2,0.5604,36.67,63.33
"PAN","Panama",2020-04-16,3751,1,0.7951,67.71,32.29
"PER","Peru",2020-04-12,7519,2,0.7591,77.91,22.09
"PHL","Philippines",2020-02-08,3,2,0.7119,46.91,53.09
"PNG","Papua New Guinea",2020-04-25,8,1,0.5431,13.17,86.83
"POL","Poland",2020-04-10,5955,2,0.8718,60.06,39.94
"PRT","Portugal",2020-03-09,30,2,0.8502,65.21,34.79
"PRY","Paraguay",2020-04-14,159,1,0.7243,61.58,38.42
"QAT","Qatar",2020-03-07,8,1,0.8484,99.14,0.86
"ROU","Romania",2020-03-04,4,2,0.8156,54,46
"RWA","Rwanda",2020-04-02,84,2,0.536,17.21,82.79
"SAU","Saudi Arabia",2020-03-09,15,2,0.857,83.84,16.16
"SDN","Sudan",2020-04-19,66,2,0.5075,34.64,65.36
"SEN","Senegal",2020-03-09,4,2,0.5138,47.19,52.81
"SGP","Singapore",2020-02-28,93,2,0.9348,100,0
"SLE","Sierra Leone",2020-04-08,7,1,0.4385,42.06,57.94
"SLV","El Salvador",2020-04-24,274,2,0.6667,72.02,27.98
"SRB","Serbia",2020-04-12,3630,2,0.7993,56.09,43.91
"SSD","South Sudan",2020-05-12,194,2,0.4128,19.61,80.39
"SUR","Suriname",2020-04-02,10,2,0.7237,66.06,33.94
"SVN","Slovenia",2020-04-11,1188,2,0.9016,54.54,45.46
"SWE","Sweden",2020-03-01,14,0,0.9366,87.43,12.57
"SYC","Seychelles",2020-04-02,10,2,0.8014,56.69,43.31
"TCD","Chad",2020-04-24,40,2,0.4012,23.06,76.94
"TGO","Togo",2020-04-12,76,2,0.5127,41.7,58.3
"THA","Thailand",2020-02-27,40,0,0.7646,49.95,50.05
"TJK","Tajikistan",2020-05-07,461,2,0.656,27.13,72.87
"TLS","Timor-Leste",2020-04-27,24,2,0.6259,30.58,69.42
"TTO","Trinidad and Tobago",2020-04-02,94,2,0.799,53.18,46.82
"TUN","Tunisia",2020-04-10,671,1,0.7392,68.94,31.06
"TUR","Turkey",2020-04-17,78546,2,0.8065,75.14,24.86
"UGA","Uganda",2020-04-26,79,2,0.5282,23.77,76.23
"UKR","Ukraine",2020-04-01,794,2,0.7497,69.35,30.65
"URY","Uruguay",2020-04-19,528,2,0.8078,95.33,4.67
"UZB","Uzbekistan",2020-04-20,1627,2,0.7105,50.48,49.52
"YEM","Yemen",2020-05-17,128,1,0.4627,36.64,63.36
"ZAF","South Africa",2020-04-11,2028,2,0.7049,66.36,33.65
"ZMB","Zambia",2020-04-23,76,2,0.5915,43.52,56.48
"ZWE","Zimbabwe",2020-04-25,31,1,0.5631,32.21,67.79
